route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,5362,5.362,1080,0.3,22740,22.74,28.101999999999997,28102,4276,1.1877777777777778,1.4877777777777779,5356
var2uniquevalue,2800,2.8,619,0.17194444444444446,22740,22.74,25.54,25540,4276,1.1877777777777778,1.3597222222222223,4895
var3uniquevalue,8139,8.139,1563,0.43416666666666665,22740,22.74,30.878999999999998,30879,4276,1.1877777777777778,1.6219444444444444,5839
var4uniquevalue,7047,7.047,1506,0.41833333333333333,22740,22.74,29.787,29787,4276,1.1877777777777778,1.6061111111111113,5782
var5uniquevalue,5155,5.155,1065,0.29583333333333334,22740,22.74,27.895,27895,4276,1.1877777777777778,1.4836111111111112,5341
var6uniquevalue,6789,6.789,1330,0.36944444444444446,22740,22.74,29.528999999999996,29529,4276,1.1877777777777778,1.5572222222222223,5606
var7uniquevalue,7980,7.98,1663,0.46194444444444444,22740,22.74,30.72,30720,4276,1.1877777777777778,1.6497222222222223,5939
var8uniquevalue,2551,2.551,544,0.1511111111111111,22740,22.74,25.290999999999997,25291,4276,1.1877777777777778,1.338888888888889,4820
var9uniquevalue,1076,1.076,261,0.0725,22740,22.74,23.816,23816,4276,1.1877777777777778,1.2602777777777778,4537
var10uniquevalue,7935,7.935,1511,0.4197222222222222,22740,22.74,30.674999999999997,30675,4276,1.1877777777777778,1.6075,5787
var11uniquevalue,4102,4.102,858,0.23833333333333334,22740,22.74,26.842,26842,4276,1.1877777777777778,1.426111111111111,5134
var12uniquevalue,3841,3.841,769,0.2136111111111111,22740,22.74,26.581,26581,4276,1.1877777777777778,1.401388888888889,5045
var13uniquevalue,7070,7.07,1370,0.38055555555555554,22740,22.74,29.81,29810,4276,1.1877777777777778,1.5683333333333334,5646
var14uniquevalue,4782,4.782,919,0.25527777777777777,22740,22.74,27.522,27522,4276,1.1877777777777778,1.4430555555555555,5195
var15uniquevalue,6368,6.368,1277,0.3547222222222222,22740,22.74,29.107999999999997,29108,4276,1.1877777777777778,1.5425,5553
var16uniquevalue,10264,10.264,2103,0.5841666666666666,22740,22.74,33.004,33004,4276,1.1877777777777778,1.7719444444444443,6379
var17uniquevalue,6649,6.649,1354,0.3761111111111111,22740,22.74,29.389,29389,4276,1.1877777777777778,1.5638888888888889,5630
var18uniquevalue,7214,7.214,1596,0.44333333333333336,22740,22.74,29.954,29954,4276,1.1877777777777778,1.6311111111111112,5872
var19uniquevalue,7402,7.402,1410,0.39166666666666666,22740,22.74,30.142,30142,4276,1.1877777777777778,1.5794444444444444,5686
var20uniquevalue,5342,5.342,1194,0.33166666666666667,22740,22.74,28.081999999999997,28082,4276,1.1877777777777778,1.5194444444444444,5470
var21uniquevalue,6515,6.515,1252,0.3477777777777778,22740,22.74,29.255,29255,4276,1.1877777777777778,1.5355555555555556,5528
var22uniquevalue,9050,9.05,1693,0.4702777777777778,22740,22.74,31.79,31790,4276,1.1877777777777778,1.6580555555555556,5969
var23uniquevalue,4564,4.564,942,0.26166666666666666,22740,22.74,27.304,27304,4276,1.1877777777777778,1.4494444444444445,5218
var24uniquevalue,7369,7.369,1522,0.42277777777777775,22740,22.74,30.108999999999998,30109,4276,1.1877777777777778,1.6105555555555555,5798
