route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,27333,27.333,4945,1.3736111111111111,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var2uniquevalue,24385,24.385,4518,1.255,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var3uniquevalue,19062,19.062,3507,0.9741666666666666,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var4uniquevalue,25366,25.366,4600,1.2777777777777777,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var5uniquevalue,19139,19.139,3387,0.9408333333333333,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var6uniquevalue,28374,28.374,5225,1.4513888888888888,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var7uniquevalue,17060,17.06,3083,0.8563888888888889,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var8uniquevalue,24136,24.136,4443,1.2341666666666666,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var9uniquevalue,23322,23.322,4396,1.221111111111111,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var10uniquevalue,22684,22.684,4199,1.166388888888889,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var11uniquevalue,25687,25.687,4757,1.321388888888889,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var12uniquevalue,25426,25.426,4668,1.2966666666666666,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var13uniquevalue,28834,28.834,5216,1.448888888888889,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var14uniquevalue,18806,18.806,3461,0.9613888888888888,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var15uniquevalue,22474,22.474,4180,1.1611111111111112,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var16uniquevalue,28722,28.722,5218,1.4494444444444445,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var17uniquevalue,28450,28.45,5109,1.4191666666666667,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var18uniquevalue,22602,22.602,4224,1.1733333333333333,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var19uniquevalue,22150,22.15,4097,1.1380555555555556,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var20uniquevalue,21731,21.731,3968,1.1022222222222222,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var21uniquevalue,21263,21.263,3940,1.0944444444444446,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var22uniquevalue,23556,23.556,4349,1.2080555555555557,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var23uniquevalue,24473,24.473,4507,1.2519444444444445,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var24uniquevalue,18385,18.385,3311,0.9197222222222222,bike,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var1uniquevalue,26024,26.024,6555,1.8208333333333333,transit,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var2uniquevalue,27084,27.084,5450,1.5138888888888888,transit,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var3uniquevalue,18001,18.001,3628,1.0077777777777779,transit,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
var4uniquevalue,27624,27.624,7602,2.111666666666667,transit,"McKenzie Towne, Calgary, Canada","Central Library, Calgary, Canada"
