route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,5738,5.738,1353,0.37583333333333335,18455,18.455,24.192999999999998,24193,3498,0.9716666666666667,0.7516666666666667,2706
var2uniquevalue,3207,3.207,716,0.1988888888888889,18455,18.455,21.662,21662,3498,0.9716666666666667,0.3977777777777778,1432
var3uniquevalue,3941,3.941,1011,0.2808333333333333,18455,18.455,22.395999999999997,22396,3498,0.9716666666666667,0.5616666666666666,2022
var4uniquevalue,1932,1.932,416,0.11555555555555555,18455,18.455,20.386999999999997,20387,3498,0.9716666666666667,0.2311111111111111,832
var5uniquevalue,5255,5.255,1244,0.34555555555555556,18455,18.455,23.709999999999997,23710,3498,0.9716666666666667,0.6911111111111111,2488
var6uniquevalue,2594,2.594,552,0.15333333333333332,18455,18.455,21.049,21049,3498,0.9716666666666667,0.30666666666666664,1104
var7uniquevalue,7642,7.642,1424,0.39555555555555555,18455,18.455,26.096999999999998,26097,3498,0.9716666666666667,0.7911111111111111,2848
var8uniquevalue,4842,4.842,987,0.27416666666666667,18455,18.455,23.296999999999997,23297,3498,0.9716666666666667,0.5483333333333333,1974
var9uniquevalue,4215,4.215,765,0.2125,18455,18.455,22.669999999999998,22670,3498,0.9716666666666667,0.425,1530
var10uniquevalue,1550,1.55,362,0.10055555555555555,18455,18.455,20.005,20005,3498,0.9716666666666667,0.2011111111111111,724
var11uniquevalue,6233,6.233,1289,0.35805555555555557,18455,18.455,24.688,24688,3498,0.9716666666666667,0.7161111111111111,2578
var12uniquevalue,5763,5.763,1187,0.32972222222222225,18455,18.455,24.217999999999996,24218,3498,0.9716666666666667,0.6594444444444445,2374
var13uniquevalue,6019,6.019,1314,0.365,18455,18.455,24.473999999999997,24474,3498,0.9716666666666667,0.73,2628
var14uniquevalue,4678,4.678,1108,0.30777777777777776,18455,18.455,23.133,23133,3498,0.9716666666666667,0.6155555555555555,2216
var15uniquevalue,4244,4.244,1018,0.2827777777777778,18455,18.455,22.698999999999998,22699,3498,0.9716666666666667,0.5655555555555556,2036
var16uniquevalue,8832,8.832,1724,0.47888888888888886,18455,18.455,27.287,27287,3498,0.9716666666666667,0.9577777777777777,3448
var17uniquevalue,3603,3.603,904,0.2511111111111111,18455,18.455,22.058,22058,3498,0.9716666666666667,0.5022222222222222,1808
var18uniquevalue,4425,4.425,985,0.27361111111111114,18455,18.455,22.88,22880,3498,0.9716666666666667,0.5472222222222223,1970
var19uniquevalue,1336,1.336,290,0.08055555555555556,18455,18.455,19.790999999999997,19791,3498,0.9716666666666667,0.16111111111111112,580
var20uniquevalue,7961,7.961,1569,0.43583333333333335,18455,18.455,26.415999999999997,26416,3498,0.9716666666666667,0.8716666666666667,3138
var21uniquevalue,5840,5.84,1439,0.3997222222222222,18455,18.455,24.294999999999998,24295,3498,0.9716666666666667,0.7994444444444444,2878
var22uniquevalue,5704,5.704,1067,0.29638888888888887,18455,18.455,24.159,24159,3498,0.9716666666666667,0.5927777777777777,2134
var23uniquevalue,4362,4.362,882,0.245,18455,18.455,22.817,22817,3498,0.9716666666666667,0.49,1764
var24uniquevalue,7117,7.117,1644,0.45666666666666667,18455,18.455,25.572,25572,3498,0.9716666666666667,0.9133333333333333,3288
