route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,20536,20.536,3928,1.0911111111111111,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var2uniquevalue,21316,21.316,4078,1.1327777777777779,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var3uniquevalue,15258,15.258,2864,0.7955555555555556,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var4uniquevalue,20040,20.04,3778,1.0494444444444444,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var5uniquevalue,11206,11.206,2205,0.6125,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var6uniquevalue,16249,16.249,2991,0.8308333333333333,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var7uniquevalue,25343,25.343,4792,1.3311111111111111,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var8uniquevalue,22950,22.95,4349,1.2080555555555557,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var9uniquevalue,22145,22.145,4350,1.2083333333333333,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var10uniquevalue,19171,19.171,3545,0.9847222222222223,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var11uniquevalue,22221,22.221,4186,1.1627777777777777,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var12uniquevalue,23871,23.871,4549,1.263611111111111,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var13uniquevalue,19050,19.05,3511,0.9752777777777778,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var14uniquevalue,17709,17.709,3305,0.9180555555555555,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var15uniquevalue,17275,17.275,3215,0.8930555555555556,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var16uniquevalue,15289,15.289,2921,0.8113888888888889,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var17uniquevalue,15126,15.126,2790,0.775,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var18uniquevalue,17138,17.138,3245,0.9013888888888889,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var19uniquevalue,20391,20.391,3852,1.07,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var20uniquevalue,16330,16.33,3099,0.8608333333333333,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var21uniquevalue,10555,10.555,2092,0.5811111111111111,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var22uniquevalue,19536,19.536,3603,1.0008333333333332,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var23uniquevalue,19567,19.567,3717,1.0325,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var24uniquevalue,19431,19.431,3808,1.0577777777777777,bike,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var1uniquevalue,17655,17.655,4998,1.3883333333333334,transit,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var2uniquevalue,16644,16.644,3639,1.0108333333333333,transit,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var3uniquevalue,12226,12.226,2575,0.7152777777777778,transit,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var4uniquevalue,15699,15.699,3907,1.0852777777777778,transit,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var5uniquevalue,12525,12.525,3043,0.8452777777777778,transit,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
var6uniquevalue,14104,14.104,2431,0.6752777777777778,transit,"North Pointe Transit Terminal, Calgary, Canada","Central Library, Calgary, Canada"
