route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,5835,5.835,1009,0.2802777777777778,20460,20.46,26.295,26295,4375,1.2152777777777777,1.4955555555555555,5384
var2uniquevalue,5999,5.999,1226,0.34055555555555556,20460,20.46,26.459,26459,4375,1.2152777777777777,1.5558333333333332,5601
var3uniquevalue,2630,2.63,461,0.12805555555555556,20460,20.46,23.09,23090,4375,1.2152777777777777,1.3433333333333333,4836
var4uniquevalue,6162,6.162,1247,0.3463888888888889,20460,20.46,26.622,26622,4375,1.2152777777777777,1.5616666666666665,5622
var5uniquevalue,2598,2.598,481,0.13361111111111112,20460,20.46,23.058,23058,4375,1.2152777777777777,1.3488888888888888,4856
var6uniquevalue,9377,9.377,1970,0.5472222222222223,20460,20.46,29.837000000000003,29837,4375,1.2152777777777777,1.7625,6345
var7uniquevalue,2828,2.828,588,0.16333333333333333,20460,20.46,23.288,23288,4375,1.2152777777777777,1.378611111111111,4963
var8uniquevalue,6202,6.202,1142,0.31722222222222224,20460,20.46,26.662,26662,4375,1.2152777777777777,1.5325,5517
var9uniquevalue,3150,3.15,609,0.16916666666666666,20460,20.46,23.61,23610,4375,1.2152777777777777,1.3844444444444444,4984
var10uniquevalue,1952,1.952,319,0.08861111111111111,20460,20.46,22.412,22412,4375,1.2152777777777777,1.3038888888888889,4694
var11uniquevalue,4974,4.974,890,0.24722222222222223,20460,20.46,25.434,25434,4375,1.2152777777777777,1.4625,5265
var12uniquevalue,6228,6.228,1177,0.3269444444444444,20460,20.46,26.688000000000002,26688,4375,1.2152777777777777,1.5422222222222222,5552
var13uniquevalue,3472,3.472,665,0.18472222222222223,20460,20.46,23.932000000000002,23932,4375,1.2152777777777777,1.4,5040
var14uniquevalue,5530,5.53,1142,0.31722222222222224,20460,20.46,25.990000000000002,25990,4375,1.2152777777777777,1.5325,5517
var15uniquevalue,7238,7.238,1384,0.3844444444444444,20460,20.46,27.698,27698,4375,1.2152777777777777,1.599722222222222,5759
var16uniquevalue,6086,6.086,1144,0.31777777777777777,20460,20.46,26.546,26546,4375,1.2152777777777777,1.5330555555555554,5519
var17uniquevalue,6498,6.498,1195,0.33194444444444443,20460,20.46,26.958000000000002,26958,4375,1.2152777777777777,1.547222222222222,5570
var18uniquevalue,4974,4.974,890,0.24722222222222223,20460,20.46,25.434,25434,4375,1.2152777777777777,1.4625,5265
var19uniquevalue,1132,1.132,231,0.06416666666666666,20460,20.46,21.592000000000002,21592,4375,1.2152777777777777,1.2794444444444444,4606
var20uniquevalue,2414,2.414,427,0.11861111111111111,20460,20.46,22.874000000000002,22874,4375,1.2152777777777777,1.3338888888888887,4802
var21uniquevalue,7145,7.145,1484,0.4122222222222222,20460,20.46,27.605,27605,4375,1.2152777777777777,1.6275,5859
var22uniquevalue,2724,2.724,512,0.14222222222222222,20460,20.46,23.184,23184,4375,1.2152777777777777,1.3575,4887
var23uniquevalue,7204,7.204,1424,0.39555555555555555,20460,20.46,27.664,27664,4375,1.2152777777777777,1.6108333333333333,5799
var24uniquevalue,6756,6.756,1347,0.37416666666666665,20460,20.46,27.216,27216,4375,1.2152777777777777,1.5894444444444442,5722
