route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,24297,24.297,4938,1.3716666666666666,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var2uniquevalue,16617,16.617,3660,1.0166666666666666,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var3uniquevalue,21885,21.885,4517,1.2547222222222223,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var4uniquevalue,19975,19.975,4153,1.1536111111111111,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var5uniquevalue,23677,23.677,4810,1.336111111111111,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var6uniquevalue,14989,14.989,3220,0.8944444444444445,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var7uniquevalue,20026,20.026,4318,1.1994444444444445,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var8uniquevalue,21050,21.05,4396,1.221111111111111,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var9uniquevalue,19305,19.305,4076,1.1322222222222222,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var10uniquevalue,22069,22.069,4524,1.2566666666666666,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var11uniquevalue,21650,21.65,4462,1.2394444444444443,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var12uniquevalue,19251,19.251,4057,1.1269444444444445,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var13uniquevalue,19825,19.825,4133,1.1480555555555556,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var14uniquevalue,20225,20.225,4217,1.1713888888888888,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var15uniquevalue,19854,19.854,4241,1.1780555555555556,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var16uniquevalue,19801,19.801,4174,1.1594444444444445,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var17uniquevalue,18431,18.431,3889,1.0802777777777777,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var18uniquevalue,21650,21.65,4462,1.2394444444444443,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var19uniquevalue,19403,19.403,4150,1.1527777777777777,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var20uniquevalue,19787,19.787,4104,1.14,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var21uniquevalue,19218,19.218,4044,1.1233333333333333,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var22uniquevalue,22581,22.581,4628,1.2855555555555556,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var23uniquevalue,19405,19.405,4050,1.125,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var24uniquevalue,19455,19.455,4049,1.1247222222222222,bike,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var1uniquevalue,46403,46.403,18514,5.142777777777778,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var2uniquevalue,17594,17.594,2457,0.6825,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var3uniquevalue,24410,24.41,4603,1.2786111111111111,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var4uniquevalue,22823,22.823,3976,1.1044444444444443,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var5uniquevalue,23947,23.947,3493,0.9702777777777778,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var6uniquevalue,15325,15.325,3592,0.9977777777777778,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var7uniquevalue,21616,21.616,4100,1.1388888888888888,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var8uniquevalue,21292,21.292,4125,1.1458333333333333,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var9uniquevalue,21321,21.321,2977,0.8269444444444445,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var10uniquevalue,23140,23.14,3295,0.9152777777777777,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var11uniquevalue,26043,26.043,5804,1.6122222222222222,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var12uniquevalue,21461,21.461,4269,1.1858333333333333,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var13uniquevalue,21947,21.947,3495,0.9708333333333333,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var14uniquevalue,20886,20.886,3538,0.9827777777777778,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var15uniquevalue,21542,21.542,4549,1.263611111111111,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var16uniquevalue,21340,21.34,4157,1.1547222222222222,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var17uniquevalue,18886,18.886,4604,1.278888888888889,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var18uniquevalue,29220,29.22,8011,2.225277777777778,transit,"Heritage Valley Station, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
