route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,20723,20.723,4360,1.211111111111111,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var2uniquevalue,15163,15.163,3147,0.8741666666666666,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var3uniquevalue,19158,19.158,3956,1.0988888888888888,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var4uniquevalue,17244,17.244,3644,1.0122222222222221,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var5uniquevalue,18096,18.096,3696,1.0266666666666666,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var6uniquevalue,18366,18.366,3808,1.0577777777777777,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var7uniquevalue,18822,18.822,3756,1.0433333333333332,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var8uniquevalue,10729,10.729,2294,0.6372222222222222,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var9uniquevalue,7829,7.829,1744,0.48444444444444446,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var10uniquevalue,18600,18.6,3922,1.0894444444444444,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var11uniquevalue,15039,15.039,3142,0.8727777777777778,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var12uniquevalue,19722,19.722,4129,1.1469444444444445,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var13uniquevalue,19663,19.663,4131,1.1475,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var14uniquevalue,17142,17.142,3534,0.9816666666666667,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var15uniquevalue,9951,9.951,2122,0.5894444444444444,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var16uniquevalue,18845,18.845,3849,1.0691666666666666,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var17uniquevalue,13186,13.186,2776,0.7711111111111111,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var18uniquevalue,17711,17.711,3595,0.9986111111111111,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var19uniquevalue,13010,13.01,2722,0.7561111111111111,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var20uniquevalue,10489,10.489,2288,0.6355555555555555,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var21uniquevalue,13868,13.868,2931,0.8141666666666667,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var22uniquevalue,12516,12.516,2580,0.7166666666666667,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var23uniquevalue,21417,21.417,4417,1.2269444444444444,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var24uniquevalue,14082,14.082,2906,0.8072222222222222,bike,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var1uniquevalue,17853,17.853,3509,0.9747222222222223,transit,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var2uniquevalue,12555,12.555,1938,0.5383333333333333,transit,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var3uniquevalue,27408,27.408,5154,1.4316666666666666,transit,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var4uniquevalue,22416,22.416,4456,1.2377777777777779,transit,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var5uniquevalue,18672,18.672,3902,1.083888888888889,transit,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var6uniquevalue,15382,15.382,2382,0.6616666666666666,transit,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
var7uniquevalue,15684,15.684,3114,0.865,transit,"Naki Transit Centre, Edmonton, Canada","Edmonton Public Library - Stanley A. Milner Library (Downtown), Edmonton, Canada"
