route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,3814,3.814,867,0.24083333333333334,20135,20.135,23.949,23949,4322,1.2005555555555556,0.4816666666666667,1734
var2uniquevalue,4321,4.321,893,0.24805555555555556,20135,20.135,24.456000000000003,24456,4322,1.2005555555555556,0.4961111111111111,1786
var3uniquevalue,8723,8.723,1583,0.43972222222222224,20135,20.135,28.858000000000004,28858,4322,1.2005555555555556,0.8794444444444445,3166
var4uniquevalue,2770,2.77,577,0.16027777777777777,20135,20.135,22.905,22905,4322,1.2005555555555556,0.32055555555555554,1154
var5uniquevalue,8831,8.831,1601,0.44472222222222224,20135,20.135,28.966,28966,4322,1.2005555555555556,0.8894444444444445,3202
var6uniquevalue,3162,3.162,586,0.16277777777777777,20135,20.135,23.297,23297,4322,1.2005555555555556,0.32555555555555554,1172
var7uniquevalue,6909,6.909,1528,0.42444444444444446,20135,20.135,27.044,27044,4322,1.2005555555555556,0.8488888888888889,3056
var8uniquevalue,4921,4.921,1045,0.2902777777777778,20135,20.135,25.056,25056,4322,1.2005555555555556,0.5805555555555556,2090
var9uniquevalue,3477,3.477,733,0.2036111111111111,20135,20.135,23.612000000000002,23612,4322,1.2005555555555556,0.4072222222222222,1466
var10uniquevalue,1676,1.676,371,0.10305555555555555,20135,20.135,21.811,21811,4322,1.2005555555555556,0.2061111111111111,742
var11uniquevalue,6302,6.302,1310,0.3638888888888889,20135,20.135,26.437,26437,4322,1.2005555555555556,0.7277777777777777,2620
var12uniquevalue,6497,6.497,1382,0.3838888888888889,20135,20.135,26.632,26632,4322,1.2005555555555556,0.7677777777777778,2764
var13uniquevalue,11021,11.021,2326,0.6461111111111111,20135,20.135,31.156000000000002,31156,4322,1.2005555555555556,1.2922222222222222,4652
var14uniquevalue,3924,3.924,722,0.20055555555555554,20135,20.135,24.059,24059,4322,1.2005555555555556,0.4011111111111111,1444
var15uniquevalue,4530,4.53,1287,0.3575,20135,20.135,24.665000000000003,24665,4322,1.2005555555555556,0.715,2574
var16uniquevalue,15346,15.346,2834,0.7872222222222223,20135,20.135,35.481,35481,4322,1.2005555555555556,1.5744444444444445,5668
var17uniquevalue,9008,9.008,1638,0.455,20135,20.135,29.143,29143,4322,1.2005555555555556,0.91,3276
var18uniquevalue,5006,5.006,930,0.25833333333333336,20135,20.135,25.141000000000002,25141,4322,1.2005555555555556,0.5166666666666667,1860
var19uniquevalue,3067,3.067,648,0.18,20135,20.135,23.202,23202,4322,1.2005555555555556,0.36,1296
var20uniquevalue,5430,5.43,1005,0.2791666666666667,20135,20.135,25.565,25565,4322,1.2005555555555556,0.5583333333333333,2010
