route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,3285,3.285,608,0.1688888888888889,23686,23.686,26.971,26971,5459,1.5163888888888888,1.6852777777777777,6067
var2uniquevalue,3322,3.322,697,0.19361111111111112,23686,23.686,27.008,27008,5459,1.5163888888888888,1.71,6156
var3uniquevalue,4739,4.739,1330,0.36944444444444446,23686,23.686,28.425,28425,5459,1.5163888888888888,1.8858333333333333,6789
var4uniquevalue,1784,1.784,395,0.10972222222222222,23686,23.686,25.47,25470,5459,1.5163888888888888,1.626111111111111,5854
var5uniquevalue,9439,9.439,1721,0.47805555555555557,23686,23.686,33.125,33125,5459,1.5163888888888888,1.9944444444444445,7180
var6uniquevalue,3320,3.32,626,0.1738888888888889,23686,23.686,27.006,27006,5459,1.5163888888888888,1.6902777777777778,6085
var7uniquevalue,19662,19.662,3791,1.0530555555555556,23686,23.686,43.348,43348,5459,1.5163888888888888,2.5694444444444446,9250
var8uniquevalue,4477,4.477,899,0.24972222222222223,23686,23.686,28.163,28163,5459,1.5163888888888888,1.766111111111111,6358
var9uniquevalue,15449,15.449,2960,0.8222222222222222,23686,23.686,39.135,39135,5459,1.5163888888888888,2.3386111111111108,8419
var10uniquevalue,1620,1.62,316,0.08777777777777777,23686,23.686,25.306,25306,5459,1.5163888888888888,1.6041666666666665,5775
var11uniquevalue,5554,5.554,1070,0.2972222222222222,23686,23.686,29.240000000000002,29240,5459,1.5163888888888888,1.813611111111111,6529
var12uniquevalue,5208,5.208,1057,0.2936111111111111,23686,23.686,28.894,28894,5459,1.5163888888888888,1.8099999999999998,6516
var13uniquevalue,5236,5.236,961,0.26694444444444443,23686,23.686,28.922,28922,5459,1.5163888888888888,1.7833333333333332,6420
var14uniquevalue,3718,3.718,692,0.1922222222222222,23686,23.686,27.404,27404,5459,1.5163888888888888,1.708611111111111,6151
var15uniquevalue,3379,3.379,601,0.16694444444444445,23686,23.686,27.065,27065,5459,1.5163888888888888,1.6833333333333331,6060
var16uniquevalue,4917,4.917,1030,0.2861111111111111,23686,23.686,28.603,28603,5459,1.5163888888888888,1.8024999999999998,6489
var17uniquevalue,6328,6.328,1175,0.3263888888888889,23686,23.686,30.014,30014,5459,1.5163888888888888,1.8427777777777776,6634
var18uniquevalue,3699,3.699,921,0.25583333333333336,23686,23.686,27.384999999999998,27385,5459,1.5163888888888888,1.7722222222222221,6380
var19uniquevalue,2471,2.471,489,0.13583333333333333,23686,23.686,26.157,26157,5459,1.5163888888888888,1.652222222222222,5948
var20uniquevalue,4276,4.276,1040,0.28888888888888886,23686,23.686,27.962,27962,5459,1.5163888888888888,1.8052777777777775,6499
var21uniquevalue,5663,5.663,1171,0.3252777777777778,23686,23.686,29.349,29349,5459,1.5163888888888888,1.8416666666666666,6630
var22uniquevalue,4988,4.988,925,0.2569444444444444,23686,23.686,28.674,28674,5459,1.5163888888888888,1.7733333333333332,6384
var23uniquevalue,4646,4.646,910,0.25277777777777777,23686,23.686,28.332,28332,5459,1.5163888888888888,1.7691666666666666,6369
var24uniquevalue,5562,5.562,1249,0.34694444444444444,23686,23.686,29.248,29248,5459,1.5163888888888888,1.8633333333333333,6708
var25uniquevalue,1933,1.933,359,0.09972222222222223,23686,23.686,25.619,25619,5459,1.5163888888888888,1.616111111111111,5818
