route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,23172,23.172,5021,1.3947222222222222,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var2uniquevalue,27088,27.088,5820,1.6166666666666667,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var3uniquevalue,20203,20.203,4398,1.2216666666666667,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var4uniquevalue,25328,25.328,5461,1.5169444444444444,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var5uniquevalue,19907,19.907,4339,1.2052777777777777,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var6uniquevalue,21385,21.385,4624,1.2844444444444445,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var7uniquevalue,38250,38.25,7941,2.2058333333333335,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var8uniquevalue,28873,28.873,6160,1.711111111111111,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var9uniquevalue,28477,28.477,6142,1.7061111111111111,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var10uniquevalue,24760,24.76,5268,1.4633333333333334,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var11uniquevalue,24869,24.869,5442,1.5116666666666667,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var12uniquevalue,27458,27.458,5907,1.6408333333333334,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var13uniquevalue,21025,21.025,4608,1.28,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var14uniquevalue,23286,23.286,5021,1.3947222222222222,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var15uniquevalue,23757,23.757,5041,1.4002777777777777,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var16uniquevalue,18960,18.96,4101,1.1391666666666667,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var17uniquevalue,20761,20.761,4400,1.2222222222222223,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var18uniquevalue,19834,19.834,4337,1.2047222222222222,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var19uniquevalue,25991,25.991,5550,1.5416666666666667,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var20uniquevalue,19256,19.256,4250,1.1805555555555556,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var21uniquevalue,19325,19.325,4241,1.1780555555555556,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var22uniquevalue,21244,21.244,4618,1.2827777777777778,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var23uniquevalue,22760,22.76,5004,1.39,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var24uniquevalue,18636,18.636,4137,1.1491666666666667,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var25uniquevalue,23502,23.502,5053,1.4036111111111111,bike,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var1uniquevalue,22088,22.088,4112,1.1422222222222222,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var2uniquevalue,26986,26.986,6130,1.7027777777777777,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var3uniquevalue,18777,18.777,4507,1.2519444444444445,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var4uniquevalue,25531,25.531,4963,1.378611111111111,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var5uniquevalue,18294,18.294,4917,1.3658333333333332,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var6uniquevalue,18324,18.324,3785,1.051388888888889,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var7uniquevalue,37027,37.027,6154,1.7094444444444445,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var8uniquevalue,27829,27.829,5573,1.5480555555555555,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var9uniquevalue,32553,32.553,5402,1.5005555555555556,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var10uniquevalue,24478,24.478,5023,1.3952777777777778,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var11uniquevalue,22296,22.296,4182,1.1616666666666666,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var12uniquevalue,24846,24.846,5484,1.5233333333333334,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var13uniquevalue,20775,20.775,4058,1.1272222222222221,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var14uniquevalue,21672,21.672,3984,1.1066666666666667,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var15uniquevalue,20712,20.712,3855,1.0708333333333333,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var16uniquevalue,16298,16.298,2961,0.8225,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var17uniquevalue,17755,17.755,4067,1.1297222222222223,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var18uniquevalue,17976,17.976,3282,0.9116666666666666,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var19uniquevalue,26218,26.218,5513,1.531388888888889,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var20uniquevalue,18006,18.006,3288,0.9133333333333333,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var21uniquevalue,18385,18.385,4030,1.1194444444444445,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var22uniquevalue,20155,20.155,3751,1.0419444444444443,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var23uniquevalue,22642,22.642,4127,1.146388888888889,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var24uniquevalue,16980,16.98,3396,0.9433333333333334,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var25uniquevalue,20281,20.281,3914,1.0872222222222223,transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var1uniquevalue,22610,22.61,1972,0.5477777777777778,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var2uniquevalue,26038,26.038,2049,0.5691666666666667,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var3uniquevalue,19493,19.493,1626,0.45166666666666666,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var4uniquevalue,25717,25.717,2035,0.5652777777777778,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var5uniquevalue,19180,19.18,1806,0.5016666666666667,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var6uniquevalue,21204,21.204,1759,0.4886111111111111,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var7uniquevalue,39513,39.513,2476,0.6877777777777778,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var8uniquevalue,29365,29.365,2159,0.5997222222222223,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var9uniquevalue,28611,28.611,2352,0.6533333333333333,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var10uniquevalue,24199,24.199,2215,0.6152777777777778,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var11uniquevalue,26816,26.816,2201,0.6113888888888889,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var12uniquevalue,28126,28.126,1966,0.5461111111111111,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var13uniquevalue,21100,21.1,2167,0.6019444444444444,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var14uniquevalue,21764,21.764,1908,0.53,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var15uniquevalue,21785,21.785,1886,0.5238888888888888,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var16uniquevalue,18210,18.21,1947,0.5408333333333334,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var17uniquevalue,19613,19.613,2182,0.6061111111111112,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var18uniquevalue,19262,19.262,2102,0.5838888888888889,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var19uniquevalue,26509,26.509,2152,0.5977777777777777,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var20uniquevalue,18698,18.698,2074,0.5761111111111111,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var21uniquevalue,18974,18.974,1684,0.4677777777777778,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var22uniquevalue,22205,22.205,2165,0.6013888888888889,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var23uniquevalue,24971,24.971,1998,0.555,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var24uniquevalue,17655,17.655,1962,0.545,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var25uniquevalue,23891,23.891,1861,0.5169444444444444,car,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var1uniquevalue,26833,26.833,1224,0.34,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var2uniquevalue,26870,26.869999999999997,1394,0.38722222222222225,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var3uniquevalue,28287,28.287,2662,0.7394444444444445,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var4uniquevalue,25332,25.331999999999997,790,0.21944444444444444,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var5uniquevalue,32987,32.986999999999995,3446,0.9572222222222222,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var6uniquevalue,26869,26.869,1254,0.34833333333333333,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var7uniquevalue,43210,43.209999999999994,7600,2.111111111111111,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var8uniquevalue,28025,28.025,1798,0.49944444444444447,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var9uniquevalue,38997,38.997,5934,1.6483333333333334,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var10uniquevalue,25168,25.168,632,0.17555555555555555,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var11uniquevalue,29102,29.101999999999997,2152,0.5977777777777777,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var12uniquevalue,28756,28.756,2120,0.5888888888888889,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var13uniquevalue,28784,28.784,1928,0.5355555555555556,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var14uniquevalue,27266,27.266,1390,0.3861111111111111,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var15uniquevalue,26927,26.927,1208,0.33555555555555555,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var16uniquevalue,28465,28.464999999999996,2066,0.5738888888888889,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var17uniquevalue,29876,29.875999999999998,2350,0.6527777777777778,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var18uniquevalue,27247,27.247,1840,0.5111111111111111,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var19uniquevalue,26019,26.019,982,0.2727777777777778,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var20uniquevalue,27824,27.823999999999998,2078,0.5772222222222222,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var21uniquevalue,29211,29.211,2344,0.6511111111111111,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var22uniquevalue,28536,28.535999999999998,1856,0.5155555555555555,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var23uniquevalue,28194,28.194,1832,0.5088888888888888,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var24uniquevalue,29257,29.256999999999998,2672,0.7422222222222222,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
var25uniquevalue,25481,25.480999999999998,716,0.1988888888888889,bike_transit,"Riviere-des-Prairies Station, Montreal, Canada","Musee d'art contemporain de Montreal, Montreal, Canada"
