route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,3240,3.24,671,0.18638888888888888,24478,24.478,27.718000000000004,27718,4785,1.3291666666666666,1.5155555555555555,5456
var2uniquevalue,2746,2.746,560,0.15555555555555556,24478,24.478,27.224,27224,4785,1.3291666666666666,1.484722222222222,5345
var3uniquevalue,4402,4.402,870,0.24166666666666667,24478,24.478,28.880000000000003,28880,4785,1.3291666666666666,1.5708333333333333,5655
var4uniquevalue,1783,1.783,379,0.10527777777777778,24478,24.478,26.261000000000003,26261,4785,1.3291666666666666,1.4344444444444444,5164
var5uniquevalue,7571,7.571,1422,0.395,24478,24.478,32.049,32049,4785,1.3291666666666666,1.7241666666666666,6207
var6uniquevalue,2154,2.154,481,0.13361111111111112,24478,24.478,26.632,26632,4785,1.3291666666666666,1.4627777777777777,5266
var7uniquevalue,6730,6.73,1334,0.3705555555555556,24478,24.478,31.208000000000002,31208,4785,1.3291666666666666,1.6997222222222221,6119
var8uniquevalue,4134,4.134,851,0.2363888888888889,24478,24.478,28.612000000000002,28612,4785,1.3291666666666666,1.5655555555555556,5636
var9uniquevalue,3447,3.447,700,0.19444444444444445,24478,24.478,27.925,27925,4785,1.3291666666666666,1.523611111111111,5485
var10uniquevalue,1959,1.959,442,0.12277777777777778,24478,24.478,26.437,26437,4785,1.3291666666666666,1.4519444444444445,5227
var11uniquevalue,5395,5.395,1092,0.30333333333333334,24478,24.478,29.873,29873,4785,1.3291666666666666,1.6324999999999998,5877
var12uniquevalue,5813,5.813,1139,0.3163888888888889,24478,24.478,30.291,30291,4785,1.3291666666666666,1.6455555555555554,5924
var13uniquevalue,7129,7.129,1371,0.38083333333333336,24478,24.478,31.607,31607,4785,1.3291666666666666,1.71,6156
var14uniquevalue,3590,3.59,730,0.20277777777777778,24478,24.478,28.068,28068,4785,1.3291666666666666,1.5319444444444443,5515
var15uniquevalue,3419,3.419,702,0.195,24478,24.478,27.897000000000002,27897,4785,1.3291666666666666,1.5241666666666667,5487
var16uniquevalue,4869,4.869,921,0.25583333333333336,24478,24.478,29.347,29347,4785,1.3291666666666666,1.585,5706
var17uniquevalue,3431,3.431,726,0.20166666666666666,24478,24.478,27.909000000000002,27909,4785,1.3291666666666666,1.5308333333333333,5511
var18uniquevalue,3474,3.474,739,0.20527777777777778,24478,24.478,27.952,27952,4785,1.3291666666666666,1.5344444444444445,5524
var19uniquevalue,1305,1.305,300,0.08333333333333333,24478,24.478,25.783,25783,4785,1.3291666666666666,1.4124999999999999,5085
var20uniquevalue,3913,3.913,829,0.23027777777777778,24478,24.478,28.391000000000002,28391,4785,1.3291666666666666,1.5594444444444444,5614
var21uniquevalue,5332,5.332,1026,0.285,24478,24.478,29.810000000000002,29810,4785,1.3291666666666666,1.6141666666666665,5811
var22uniquevalue,6747,6.747,1300,0.3611111111111111,24478,24.478,31.225,31225,4785,1.3291666666666666,1.6902777777777778,6085
