route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,24177,24.177,4780,1.3277777777777777,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var2uniquevalue,19601,19.601,3948,1.0966666666666667,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var3uniquevalue,25579,25.579,4941,1.3725,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var4uniquevalue,20405,20.405,4117,1.1436111111111111,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var5uniquevalue,27410,27.41,5239,1.4552777777777777,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var6uniquevalue,23244,23.244,4556,1.2655555555555555,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var7uniquevalue,19682,19.682,3922,1.0894444444444444,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var8uniquevalue,18510,18.51,3714,1.0316666666666667,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var9uniquevalue,21911,21.911,4393,1.2202777777777778,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var10uniquevalue,22454,22.454,4487,1.246388888888889,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var11uniquevalue,17446,17.446,3465,0.9625,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var12uniquevalue,16503,16.503,3325,0.9236111111111112,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var13uniquevalue,27590,27.59,5422,1.5061111111111112,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var14uniquevalue,25012,25.012,4887,1.3575,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var15uniquevalue,24847,24.847,4859,1.3497222222222223,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var16uniquevalue,23071,23.071,4455,1.2375,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var17uniquevalue,24553,24.553,4787,1.3297222222222222,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var18uniquevalue,22922,22.922,4458,1.2383333333333333,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var19uniquevalue,20928,20.928,4171,1.158611111111111,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var20uniquevalue,22268,22.268,4296,1.1933333333333334,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var21uniquevalue,26509,26.509,5096,1.4155555555555555,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var22uniquevalue,27208,27.208,5350,1.4861111111111112,bike,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var1uniquevalue,27988,27.988,5140,1.4277777777777778,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var2uniquevalue,22212,22.212,3464,0.9622222222222222,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var3uniquevalue,30754,30.754,5034,1.3983333333333334,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var4uniquevalue,23374,23.374,3779,1.0497222222222222,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var5uniquevalue,36394,36.394,9713,2.6980555555555554,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var6uniquevalue,30912,30.912,4336,1.2044444444444444,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var7uniquevalue,22416,22.416,3341,0.9280555555555555,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var8uniquevalue,24774,24.774,4232,1.1755555555555555,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var9uniquevalue,26069,26.069,4561,1.2669444444444444,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var10uniquevalue,24372,24.372,3585,0.9958333333333333,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var11uniquevalue,21594,21.594,3961,1.1002777777777777,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var12uniquevalue,32203,32.203,5678,1.5772222222222223,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var13uniquevalue,32038,32.038,5544,1.54,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var14uniquevalue,30194,30.194,5184,1.44,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var15uniquevalue,29751,29.751,4231,1.1752777777777779,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var16uniquevalue,28297,28.297,4928,1.3688888888888888,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var17uniquevalue,24433,24.433,4254,1.1816666666666666,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var18uniquevalue,38512,38.512,5555,1.5430555555555556,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var19uniquevalue,31684,31.684,5791,1.6086111111111112,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var20uniquevalue,26705,26.705,3907,1.0852777777777778,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var21uniquevalue,32681,32.681,4367,1.2130555555555556,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var22uniquevalue,25094,25.094,3595,0.9986111111111111,transit,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var1uniquevalue,26784,26.784,1365,0.37916666666666665,car,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var2uniquevalue,19630,19.63,1482,0.4116666666666667,car,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var3uniquevalue,29706,29.706,1571,0.4363888888888889,car,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var4uniquevalue,21706,21.706,1515,0.42083333333333334,car,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var5uniquevalue,30530,30.53,1520,0.4222222222222222,car,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var6uniquevalue,30156,30.156,1676,0.46555555555555556,car,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
var7uniquevalue,20606,20.606,1183,0.32861111111111113,car,"Barrhaven Center Station, Ottawa, Canada","Wellington Building, Ottawa, Canada"
