route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,4511,4.511,843,0.23416666666666666,9898,9.898,14.408999999999999,14409,2033,0.5647222222222222,0.7988888888888889,2876
var2uniquevalue,3160,3.16,637,0.17694444444444443,9898,9.898,13.058,13058,2033,0.5647222222222222,0.7416666666666667,2670
var3uniquevalue,5179,5.179,1030,0.2861111111111111,9898,9.898,15.077,15077,2033,0.5647222222222222,0.8508333333333333,3063
var4uniquevalue,1645,1.645,335,0.09305555555555556,9898,9.898,11.543,11543,2033,0.5647222222222222,0.6577777777777778,2368
var5uniquevalue,5798,5.798,1156,0.3211111111111111,9898,9.898,15.696,15696,2033,0.5647222222222222,0.8858333333333334,3189
var6uniquevalue,1915,1.915,341,0.09472222222222222,9898,9.898,11.812999999999999,11813,2033,0.5647222222222222,0.6594444444444445,2374
var7uniquevalue,5989,5.989,1414,0.3927777777777778,9898,9.898,15.887,15887,2033,0.5647222222222222,0.9575,3447
var8uniquevalue,3957,3.957,847,0.23527777777777778,9898,9.898,13.855,13855,2033,0.5647222222222222,0.8,2880
var9uniquevalue,3402,3.402,645,0.17916666666666667,9898,9.898,13.3,13300,2033,0.5647222222222222,0.7438888888888889,2678
var10uniquevalue,1364,1.364,338,0.09388888888888888,9898,9.898,11.262,11262,2033,0.5647222222222222,0.6586111111111111,2371
var11uniquevalue,4767,4.767,1090,0.30277777777777776,9898,9.898,14.665,14665,2033,0.5647222222222222,0.8674999999999999,3123
var12uniquevalue,5546,5.546,1197,0.3325,9898,9.898,15.443999999999999,15444,2033,0.5647222222222222,0.8972222222222223,3230
var13uniquevalue,5996,5.996,1230,0.3416666666666667,9898,9.898,15.894,15894,2033,0.5647222222222222,0.9063888888888889,3263
var14uniquevalue,4351,4.351,822,0.22833333333333333,9898,9.898,14.248999999999999,14249,2033,0.5647222222222222,0.7930555555555556,2855
var15uniquevalue,3798,3.798,715,0.1986111111111111,9898,9.898,13.696,13696,2033,0.5647222222222222,0.7633333333333333,2748
var16uniquevalue,3853,3.853,675,0.1875,9898,9.898,13.751,13751,2033,0.5647222222222222,0.7522222222222222,2708
var17uniquevalue,5462,5.462,1087,0.30194444444444446,9898,9.898,15.36,15360,2033,0.5647222222222222,0.8666666666666667,3120
var18uniquevalue,5903,5.903,1204,0.33444444444444443,9898,9.898,15.800999999999998,15801,2033,0.5647222222222222,0.8991666666666667,3237
var19uniquevalue,1451,1.451,318,0.08833333333333333,9898,9.898,11.349,11349,2033,0.5647222222222222,0.6530555555555556,2351
var20uniquevalue,6469,6.469,2085,0.5791666666666667,9898,9.898,16.367,16367,2033,0.5647222222222222,1.143888888888889,4118
var21uniquevalue,6063,6.063,1249,0.34694444444444444,9898,9.898,15.960999999999999,15961,2033,0.5647222222222222,0.9116666666666666,3282
var22uniquevalue,6082,6.082,1249,0.34694444444444444,9898,9.898,15.98,15980,2033,0.5647222222222222,0.9116666666666666,3282
var23uniquevalue,6158,6.158,1096,0.30444444444444446,9898,9.898,16.056,16056,2033,0.5647222222222222,0.8691666666666666,3129
var24uniquevalue,6027,6.027,1134,0.315,9898,9.898,15.925,15925,2033,0.5647222222222222,0.8797222222222223,3167
