route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,6654,6.654,1539,0.4275,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var2uniquevalue,11559,11.559,2225,0.6180555555555556,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var3uniquevalue,9373,9.373,2038,0.5661111111111111,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var4uniquevalue,8054,8.054,1717,0.47694444444444445,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var5uniquevalue,7799,7.799,1796,0.4988888888888889,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var6uniquevalue,10341,10.341,2093,0.5813888888888888,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var7uniquevalue,6579,6.579,1325,0.3680555555555556,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var8uniquevalue,11772,11.772,2266,0.6294444444444445,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var9uniquevalue,6044,6.044,1264,0.3511111111111111,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var10uniquevalue,8732,8.732,1793,0.49805555555555553,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var11uniquevalue,14862,14.862,2755,0.7652777777777777,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var12uniquevalue,11641,11.641,2193,0.6091666666666666,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var13uniquevalue,5830,5.83,1339,0.37194444444444447,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var14uniquevalue,7457,7.457,1676,0.46555555555555556,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var15uniquevalue,7317,7.317,1639,0.4552777777777778,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var16uniquevalue,12846,12.846,2523,0.7008333333333333,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var17uniquevalue,9774,9.774,2116,0.5877777777777777,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var18uniquevalue,14896,14.896,3052,0.8477777777777777,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var19uniquevalue,8871,8.871,1848,0.5133333333333333,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var20uniquevalue,15462,15.462,3933,1.0925,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var21uniquevalue,8320,8.32,1925,0.5347222222222222,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var22uniquevalue,5274,5.274,1248,0.3466666666666667,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var23uniquevalue,16658,16.658,3041,0.8447222222222223,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var24uniquevalue,15020,15.02,2982,0.8283333333333334,bike,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var1uniquevalue,7400,7.4,2289,0.6358333333333334,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var2uniquevalue,9250,9.25,2984,0.8288888888888889,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var3uniquevalue,10865,10.865,3574,0.9927777777777778,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var4uniquevalue,8301,8.301,2785,0.7736111111111111,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var5uniquevalue,8404,8.404,2583,0.7175,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var6uniquevalue,9387,9.387,2566,0.7127777777777777,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var7uniquevalue,9432,9.432,4901,1.361388888888889,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var8uniquevalue,14195,14.195,3555,0.9875,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var9uniquevalue,6086,6.086,2325,0.6458333333333334,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var10uniquevalue,10980,10.98,2731,0.7586111111111111,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var11uniquevalue,14434,14.434,3165,0.8791666666666667,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var12uniquevalue,15233,15.233,4410,1.225,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var13uniquevalue,7008,7.008,2512,0.6977777777777778,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var14uniquevalue,8785,8.785,2908,0.8077777777777778,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var15uniquevalue,8136,8.136,2491,0.6919444444444445,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var16uniquevalue,20116,20.116,9575,2.6597222222222223,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var17uniquevalue,13417,13.417,4508,1.2522222222222221,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var18uniquevalue,15441,15.441,3960,1.1,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var19uniquevalue,9091,9.091,3008,0.8355555555555556,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var20uniquevalue,16007,16.007,4384,1.2177777777777778,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var21uniquevalue,9455,9.455,2551,0.7086111111111111,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var22uniquevalue,5754,5.754,2071,0.5752777777777778,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var23uniquevalue,15249,15.249,2870,0.7972222222222223,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var24uniquevalue,15564,15.564,4045,1.1236111111111111,transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var1uniquevalue,6718,6.718,669,0.18583333333333332,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var2uniquevalue,12146,12.146,1070,0.2972222222222222,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var3uniquevalue,11074,11.074,909,0.2525,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var4uniquevalue,11129,11.129,976,0.27111111111111114,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var5uniquevalue,8915,8.915,937,0.2602777777777778,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var6uniquevalue,9229,9.229,733,0.2036111111111111,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var7uniquevalue,8936,8.936,736,0.20444444444444446,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var8uniquevalue,12475,12.475,941,0.2613888888888889,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var9uniquevalue,9132,9.132,778,0.21611111111111111,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var10uniquevalue,7902,7.902,864,0.24,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var11uniquevalue,18664,18.664,1237,0.3436111111111111,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var12uniquevalue,11868,11.868,837,0.2325,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var13uniquevalue,6814,6.814,875,0.24305555555555555,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var14uniquevalue,7940,7.94,792,0.22,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var15uniquevalue,7416,7.416,755,0.20972222222222223,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var16uniquevalue,11507,11.507,790,0.21944444444444444,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var17uniquevalue,11474,11.474,959,0.2663888888888889,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var18uniquevalue,11607,11.607,1112,0.3088888888888889,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var19uniquevalue,9993,9.993,900,0.25,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var20uniquevalue,12990,12.99,1013,0.2813888888888889,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var21uniquevalue,9181,9.181,971,0.2697222222222222,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var22uniquevalue,6258,6.258,779,0.21638888888888888,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var23uniquevalue,14086,14.086,997,0.27694444444444444,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var24uniquevalue,13907,13.907,1053,0.2925,car,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var1uniquevalue,14409,14.408999999999999,2876,0.7988888888888889,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var2uniquevalue,13058,13.058,2670,0.7416666666666667,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var3uniquevalue,15077,15.077,3063,0.8508333333333333,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var4uniquevalue,11543,11.543,2368,0.6577777777777778,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var5uniquevalue,15696,15.696,3189,0.8858333333333334,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var6uniquevalue,11813,11.812999999999999,2374,0.6594444444444445,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var7uniquevalue,15887,15.887,3447,0.9575,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var8uniquevalue,13855,13.855,2880,0.8,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var9uniquevalue,13300,13.3,2678,0.7438888888888889,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var10uniquevalue,11262,11.262,2371,0.6586111111111111,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var11uniquevalue,14665,14.665,3123,0.8674999999999999,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var12uniquevalue,15444,15.443999999999999,3230,0.8972222222222223,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var13uniquevalue,15894,15.894,3263,0.9063888888888889,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var14uniquevalue,14249,14.248999999999999,2855,0.7930555555555556,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var15uniquevalue,13696,13.696,2748,0.7633333333333333,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var16uniquevalue,13751,13.751,2708,0.7522222222222222,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var17uniquevalue,15360,15.36,3120,0.8666666666666667,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var18uniquevalue,15801,15.800999999999998,3237,0.8991666666666667,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var19uniquevalue,11349,11.349,2351,0.6530555555555556,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var20uniquevalue,16367,16.367,4118,1.143888888888889,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var21uniquevalue,15961,15.960999999999999,3282,0.9116666666666666,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var22uniquevalue,15980,15.98,3282,0.9116666666666666,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var23uniquevalue,16056,16.056,3129,0.8691666666666666,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
var24uniquevalue,15925,15.925,3167,0.8797222222222223,bike_transit,"Blair Station, Ottawa, Canada","National Gallery of Canada, Ottawa, Canada"
