route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,20456,20.456,4137,1.1491666666666667,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var2uniquevalue,15377,15.377,3116,0.8655555555555555,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var3uniquevalue,21373,21.373,4199,1.166388888888889,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var4uniquevalue,16451,16.451,3357,0.9325,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var5uniquevalue,22245,22.245,4431,1.2308333333333332,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var6uniquevalue,19456,19.456,3898,1.0827777777777778,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var7uniquevalue,14987,14.987,3149,0.8747222222222222,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var8uniquevalue,14593,14.593,3020,0.8388888888888889,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var9uniquevalue,20352,20.352,3929,1.091388888888889,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var10uniquevalue,13067,13.067,2700,0.75,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var11uniquevalue,14303,14.303,2867,0.7963888888888889,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var12uniquevalue,22581,22.581,4497,1.2491666666666668,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var13uniquevalue,20282,20.282,4077,1.1325,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var14uniquevalue,20065,20.065,4041,1.1225,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var15uniquevalue,19704,19.704,3884,1.0788888888888888,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
var16uniquevalue,20448,20.448,4022,1.1172222222222221,bike,"Fallowfield Station, Ottawa, Canada","Downtown, Ottawa, Canada"
