route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,3709,3.709,916,0.2544444444444444,15811,15.811,19.52,19520,3156,0.8766666666666667,0.5088888888888888,1832
var2uniquevalue,2428,2.428,495,0.1375,15811,15.811,18.239,18239,3156,0.8766666666666667,0.275,990
var3uniquevalue,3884,3.884,856,0.23777777777777778,15811,15.811,19.695,19695,3156,0.8766666666666667,0.47555555555555556,1712
var4uniquevalue,1827,1.827,417,0.11583333333333333,15811,15.811,17.637999999999998,17638,3156,0.8766666666666667,0.23166666666666666,834
var5uniquevalue,5147,5.147,1083,0.30083333333333334,15811,15.811,20.958,20958,3156,0.8766666666666667,0.6016666666666667,2166
var6uniquevalue,2677,2.677,638,0.17722222222222223,15811,15.811,18.488,18488,3156,0.8766666666666667,0.35444444444444445,1276
var7uniquevalue,6847,6.847,1424,0.39555555555555555,15811,15.811,22.658,22658,3156,0.8766666666666667,0.7911111111111111,2848
var8uniquevalue,4091,4.091,866,0.24055555555555555,15811,15.811,19.902,19902,3156,0.8766666666666667,0.4811111111111111,1732
var9uniquevalue,4074,4.074,899,0.24972222222222223,15811,15.811,19.884999999999998,19885,3156,0.8766666666666667,0.49944444444444447,1798
var10uniquevalue,2330,2.33,665,0.18472222222222223,15811,15.811,18.141,18141,3156,0.8766666666666667,0.36944444444444446,1330
var11uniquevalue,4820,4.82,1000,0.2777777777777778,15811,15.811,20.631,20631,3156,0.8766666666666667,0.5555555555555556,2000
var12uniquevalue,6157,6.157,1312,0.36444444444444446,15811,15.811,21.968,21968,3156,0.8766666666666667,0.7288888888888889,2624
var13uniquevalue,5211,5.211,1123,0.31194444444444447,15811,15.811,21.022,21022,3156,0.8766666666666667,0.6238888888888889,2246
var14uniquevalue,3235,3.235,712,0.19777777777777777,15811,15.811,19.046,19046,3156,0.8766666666666667,0.39555555555555555,1424
var15uniquevalue,3054,3.054,641,0.17805555555555555,15811,15.811,18.865,18865,3156,0.8766666666666667,0.3561111111111111,1282
var16uniquevalue,3876,3.876,1231,0.34194444444444444,15811,15.811,19.687,19687,3156,0.8766666666666667,0.6838888888888889,2462
var17uniquevalue,2987,2.987,888,0.24666666666666667,15811,15.811,18.798000000000002,18798,3156,0.8766666666666667,0.49333333333333335,1776
var18uniquevalue,3855,3.855,1228,0.3411111111111111,15811,15.811,19.666,19666,3156,0.8766666666666667,0.6822222222222222,2456
var19uniquevalue,1630,1.63,390,0.10833333333333334,15811,15.811,17.441,17441,3156,0.8766666666666667,0.21666666666666667,780
var20uniquevalue,3851,3.851,1228,0.3411111111111111,15811,15.811,19.662,19662,3156,0.8766666666666667,0.6822222222222222,2456
var21uniquevalue,4639,4.639,986,0.2738888888888889,15811,15.811,20.45,20450,3156,0.8766666666666667,0.5477777777777778,1972
var22uniquevalue,5444,5.444,1312,0.36444444444444446,15811,15.811,21.255,21255,3156,0.8766666666666667,0.7288888888888889,2624
var23uniquevalue,4003,4.003,745,0.20694444444444443,15811,15.811,19.814,19814,3156,0.8766666666666667,0.41388888888888886,1490
