route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,13165,13.165,2656,0.7377777777777778,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var2uniquevalue,17043,17.043,3398,0.9438888888888889,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var3uniquevalue,13633,13.633,2877,0.7991666666666667,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var4uniquevalue,16442,16.442,3299,0.9163888888888889,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var5uniquevalue,13373,13.373,2819,0.7830555555555555,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var6uniquevalue,15080,15.08,3132,0.87,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var7uniquevalue,18203,18.203,3755,1.0430555555555556,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var8uniquevalue,18449,18.449,3744,1.04,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var9uniquevalue,15633,15.633,3162,0.8783333333333333,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var10uniquevalue,15090,15.09,3142,0.8727777777777778,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var11uniquevalue,19851,19.851,4038,1.1216666666666666,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var12uniquevalue,20515,20.515,4190,1.163888888888889,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var13uniquevalue,10663,10.663,2170,0.6027777777777777,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var14uniquevalue,12918,12.918,2642,0.7338888888888889,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var15uniquevalue,12827,12.827,2586,0.7183333333333334,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var16uniquevalue,18952,18.952,4167,1.1575,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var17uniquevalue,14926,14.926,3313,0.9202777777777778,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var18uniquevalue,18931,18.931,4164,1.1566666666666667,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var19uniquevalue,16264,16.264,3336,0.9266666666666666,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var20uniquevalue,18927,18.927,4164,1.1566666666666667,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var21uniquevalue,13560,13.56,2847,0.7908333333333334,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var22uniquevalue,10673,10.673,2210,0.6138888888888889,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var23uniquevalue,19034,19.034,3786,1.0516666666666667,bike,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var1uniquevalue,15384,15.384,3558,0.9883333333333333,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var2uniquevalue,20536,20.536,3429,0.9525,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var3uniquevalue,16089,16.089,3766,1.0461111111111112,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var4uniquevalue,18970,18.97,3526,0.9794444444444445,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var5uniquevalue,15554,15.554,3729,1.0358333333333334,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var6uniquevalue,17521,17.521,4328,1.2022222222222223,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var7uniquevalue,19824,19.824,4393,1.2202777777777778,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var8uniquevalue,19878,19.878,3209,0.8913888888888889,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var9uniquevalue,19199,19.199,3901,1.083611111111111,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var10uniquevalue,17724,17.724,3254,0.9038888888888889,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var11uniquevalue,19919,19.919,3059,0.8497222222222223,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var12uniquevalue,20491,20.491,3616,1.0044444444444445,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var13uniquevalue,12721,12.721,2887,0.8019444444444445,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var14uniquevalue,14087,14.087,3398,0.9438888888888889,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var15uniquevalue,14136,14.136,3328,0.9244444444444444,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var16uniquevalue,17440,17.44,4461,1.2391666666666667,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var17uniquevalue,24784,24.784,4931,1.3697222222222223,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var18uniquevalue,17143,17.143,3266,0.9072222222222223,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var19uniquevalue,24780,24.78,4928,1.3688888888888888,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var20uniquevalue,15640,15.64,3802,1.056111111111111,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var21uniquevalue,12739,12.739,2885,0.8013888888888889,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var22uniquevalue,19900,19.9,3949,1.0969444444444445,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var23uniquevalue,16535,16.535,2765,0.7680555555555556,transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var1uniquevalue,19869,19.869,1945,0.5402777777777777,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var2uniquevalue,20931,20.931,2217,0.6158333333333333,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var3uniquevalue,12713,12.713,1986,0.5516666666666666,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var4uniquevalue,20160,20.16,2115,0.5875,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var5uniquevalue,11920,11.92,1904,0.5288888888888889,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var6uniquevalue,14189,14.189,2146,0.5961111111111111,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var7uniquevalue,19102,19.102,1812,0.5033333333333333,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var8uniquevalue,21510,21.51,2359,0.6552777777777777,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var9uniquevalue,17640,17.64,1784,0.4955555555555556,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var10uniquevalue,19949,19.949,1973,0.5480555555555555,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var11uniquevalue,22468,22.468,2424,0.6733333333333333,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var12uniquevalue,29909,29.909,2331,0.6475,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var13uniquevalue,11131,11.131,1821,0.5058333333333334,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var14uniquevalue,13306,13.306,2067,0.5741666666666667,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var15uniquevalue,13381,13.381,2006,0.5572222222222222,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var16uniquevalue,14429,14.429,2164,0.6011111111111112,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var17uniquevalue,13687,13.687,2085,0.5791666666666667,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var18uniquevalue,17835,17.835,2558,0.7105555555555556,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var19uniquevalue,21050,21.05,2338,0.6494444444444445,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var20uniquevalue,17835,17.835,2558,0.7105555555555556,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var21uniquevalue,12276,12.276,1965,0.5458333333333333,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var22uniquevalue,11129,11.129,1808,0.5022222222222222,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var23uniquevalue,18051,18.051,2511,0.6975,car,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var1uniquevalue,19504,19.504,4031,1.1197222222222223,bike_transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var2uniquevalue,18226,18.226,3608,1.0022222222222223,bike_transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var3uniquevalue,19679,19.679,3969,1.1025,bike_transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var4uniquevalue,17625,17.625,3532,0.9811111111111112,bike_transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var5uniquevalue,20942,20.942,4198,1.166111111111111,bike_transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var6uniquevalue,18472,18.472,3753,1.0425,bike_transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var7uniquevalue,22645,22.645,4537,1.2602777777777778,bike_transit,"Scarborough GO Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
