route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,3803,3.803,821,0.22805555555555557,26166,26.166,29.969,29969,5202,1.445,0.45611111111111113,1642
var2uniquevalue,2672,2.672,494,0.13722222222222222,26166,26.166,28.838,28838,5202,1.445,0.27444444444444444,988
var3uniquevalue,4273,4.273,1001,0.27805555555555556,26166,26.166,30.439,30439,5202,1.445,0.5561111111111111,2002
var4uniquevalue,1384,1.384,231,0.06416666666666666,26166,26.166,27.55,27550,5202,1.445,0.12833333333333333,462
var5uniquevalue,5390,5.39,1256,0.3488888888888889,26166,26.166,31.556,31556,5202,1.445,0.6977777777777778,2512
var6uniquevalue,2107,2.107,615,0.17083333333333334,26166,26.166,28.273,28273,5202,1.445,0.3416666666666667,1230
var7uniquevalue,6963,6.963,1322,0.36722222222222223,26166,26.166,33.129,33129,5202,1.445,0.7344444444444445,2644
var8uniquevalue,6178,6.178,1235,0.34305555555555556,26166,26.166,32.344,32344,5202,1.445,0.6861111111111111,2470
var9uniquevalue,3806,3.806,782,0.21722222222222223,26166,26.166,29.972,29972,5202,1.445,0.43444444444444447,1564
var10uniquevalue,1598,1.598,316,0.08777777777777777,26166,26.166,27.764,27764,5202,1.445,0.17555555555555555,632
var11uniquevalue,6666,6.666,1275,0.3541666666666667,26166,26.166,32.832,32832,5202,1.445,0.7083333333333334,2550
var12uniquevalue,7400,7.4,1431,0.3975,26166,26.166,33.566,33566,5202,1.445,0.795,2862
var13uniquevalue,6499,6.499,1409,0.3913888888888889,26166,26.166,32.665,32665,5202,1.445,0.7827777777777778,2818
var14uniquevalue,3508,3.508,765,0.2125,26166,26.166,29.674,29674,5202,1.445,0.425,1530
var15uniquevalue,3283,3.283,723,0.20083333333333334,26166,26.166,29.449,29449,5202,1.445,0.40166666666666667,1446
var16uniquevalue,4668,4.668,1047,0.29083333333333333,26166,26.166,30.834,30834,5202,1.445,0.5816666666666667,2094
var17uniquevalue,3099,3.099,822,0.22833333333333333,26166,26.166,29.265,29265,5202,1.445,0.45666666666666667,1644
var18uniquevalue,4850,4.85,1003,0.2786111111111111,26166,26.166,31.016,31016,5202,1.445,0.5572222222222222,2006
var19uniquevalue,1585,1.585,323,0.08972222222222222,26166,26.166,27.751,27751,5202,1.445,0.17944444444444443,646
var20uniquevalue,5152,5.152,1060,0.29444444444444445,26166,26.166,31.318,31318,5202,1.445,0.5888888888888889,2120
var21uniquevalue,5780,5.78,1281,0.35583333333333333,26166,26.166,31.946,31946,5202,1.445,0.7116666666666667,2562
var22uniquevalue,6433,6.433,1399,0.38861111111111113,26166,26.166,32.599000000000004,32599,5202,1.445,0.7772222222222223,2798
var23uniquevalue,3014,3.014,662,0.18388888888888888,26166,26.166,29.18,29180,5202,1.445,0.36777777777777776,1324
var24uniquevalue,7438,7.438,1569,0.43583333333333335,26166,26.166,33.604,33604,5202,1.445,0.8716666666666667,3138
var25uniquevalue,870,0.87,277,0.07694444444444444,26166,26.166,27.036,27036,5202,1.445,0.15388888888888888,554
