route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,30295,30.295,5991,1.6641666666666666,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var2uniquevalue,27471,27.471,5355,1.4875,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var3uniquevalue,21708,21.708,4409,1.2247222222222223,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var4uniquevalue,27550,27.55,5430,1.5083333333333333,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var5uniquevalue,26449,26.449,5288,1.468888888888889,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var6uniquevalue,24145,24.145,4757,1.321388888888889,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var7uniquevalue,35399,35.399,6960,1.9333333333333333,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var8uniquevalue,26571,26.571,5120,1.4222222222222223,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var9uniquevalue,32121,32.121,6316,1.7544444444444445,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var10uniquevalue,30645,30.645,6048,1.68,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var11uniquevalue,25650,25.65,4923,1.3675,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var12uniquevalue,27793,27.793,5316,1.4766666666666666,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var13uniquevalue,28311,28.311,5608,1.5577777777777777,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var14uniquevalue,28223,28.223,5563,1.5452777777777778,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var15uniquevalue,29473,29.473,5817,1.6158333333333332,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var16uniquevalue,21591,21.591,4248,1.18,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var17uniquevalue,21377,21.377,4306,1.1961111111111111,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var18uniquevalue,22167,22.167,4316,1.198888888888889,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var19uniquevalue,27002,27.002,5310,1.475,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var20uniquevalue,21106,21.106,4125,1.1458333333333333,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var21uniquevalue,26719,26.719,5321,1.4780555555555555,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var22uniquevalue,28540,28.54,5695,1.5819444444444444,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var23uniquevalue,25349,25.349,4881,1.3558333333333332,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var24uniquevalue,19175,19.175,3826,1.0627777777777778,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var25uniquevalue,25768,25.768,5148,1.43,bike,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var1uniquevalue,25832,25.832,4479,1.2441666666666666,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var2uniquevalue,25003,25.003,4240,1.1777777777777778,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var3uniquevalue,23867,23.867,4264,1.1844444444444444,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var4uniquevalue,24100,24.1,3723,1.0341666666666667,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var5uniquevalue,24088,24.088,4663,1.2952777777777778,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var6uniquevalue,22040,22.04,3488,0.9688888888888889,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var7uniquevalue,30538,30.538,5056,1.4044444444444444,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var8uniquevalue,25944,25.944,4583,1.2730555555555556,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var9uniquevalue,27712,27.712,4919,1.3663888888888889,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var10uniquevalue,23650,23.65,3926,1.0905555555555555,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var11uniquevalue,26560,26.56,4804,1.3344444444444445,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var12uniquevalue,26678,26.678,4086,1.135,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var13uniquevalue,24704,24.704,4242,1.1783333333333332,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var14uniquevalue,23314,23.314,4161,1.1558333333333333,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var15uniquevalue,24536,24.536,4178,1.1605555555555556,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var16uniquevalue,22576,22.576,3526,0.9794444444444445,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var17uniquevalue,22075,22.075,3724,1.0344444444444445,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var18uniquevalue,19343,19.343,2846,0.7905555555555556,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var19uniquevalue,23916,23.916,3800,1.0555555555555556,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var20uniquevalue,19390,19.39,2895,0.8041666666666667,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var21uniquevalue,23885,23.885,4450,1.2361111111111112,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var22uniquevalue,25060,25.06,4534,1.2594444444444444,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var23uniquevalue,25942,25.942,4040,1.1222222222222222,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var24uniquevalue,19425,19.425,3410,0.9472222222222222,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var25uniquevalue,23226,23.226,3579,0.9941666666666666,transit,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var1uniquevalue,40951,40.951,2409,0.6691666666666667,car,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var2uniquevalue,43826,43.826,2699,0.7497222222222222,car,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var3uniquevalue,23635,23.635,2379,0.6608333333333334,car,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var4uniquevalue,28508,28.508,2639,0.7330555555555556,car,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
var5uniquevalue,23103,23.103,2439,0.6775,car,"Vaughan Metropolitan Centre Station, Toronto, Canada","Art Gallery of Ontario, Toronto, Canada"
