route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,3130,3.13,854,0.23722222222222222,11074,11.074,14.204,14204,2647,0.7352777777777778,0.9725,3501
var2uniquevalue,3044,3.044,789,0.21916666666666668,11074,11.074,14.118,14118,2647,0.7352777777777778,0.9544444444444444,3436
var3uniquevalue,7101,7.101,1398,0.3883333333333333,11074,11.074,18.175,18175,2647,0.7352777777777778,1.1236111111111111,4045
var4uniquevalue,5953,5.953,1070,0.2972222222222222,11074,11.074,17.027,17027,2647,0.7352777777777778,1.0325,3717
var5uniquevalue,5208,5.208,1022,0.2838888888888889,11074,11.074,16.282,16282,2647,0.7352777777777778,1.0191666666666668,3669
var6uniquevalue,4194,4.194,776,0.21555555555555556,11074,11.074,15.268,15268,2647,0.7352777777777778,0.9508333333333334,3423
var7uniquevalue,6482,6.482,1262,0.35055555555555556,11074,11.074,17.556,17556,2647,0.7352777777777778,1.0858333333333334,3909
var8uniquevalue,3093,3.093,705,0.19583333333333333,11074,11.074,14.167,14167,2647,0.7352777777777778,0.9311111111111111,3352
var9uniquevalue,4051,4.051,792,0.22,11074,11.074,15.125,15125,2647,0.7352777777777778,0.9552777777777778,3439
var10uniquevalue,5929,5.929,1130,0.3138888888888889,11074,11.074,17.003,17003,2647,0.7352777777777778,1.0491666666666668,3777
var11uniquevalue,727,0.727,334,0.09277777777777778,11074,11.074,11.801,11801,2647,0.7352777777777778,0.8280555555555555,2981
var12uniquevalue,5304,5.304,1059,0.2941666666666667,11074,11.074,16.378,16378,2647,0.7352777777777778,1.0294444444444446,3706
var13uniquevalue,6884,6.884,1625,0.4513888888888889,11074,11.074,17.958,17958,2647,0.7352777777777778,1.1866666666666668,4272
var14uniquevalue,4724,4.724,916,0.2544444444444444,11074,11.074,15.798,15798,2647,0.7352777777777778,0.9897222222222222,3563
var15uniquevalue,5288,5.288,1199,0.33305555555555555,11074,11.074,16.362000000000002,16362,2647,0.7352777777777778,1.0683333333333334,3846
var16uniquevalue,4078,4.078,967,0.26861111111111113,11074,11.074,15.152000000000001,15152,2647,0.7352777777777778,1.003888888888889,3614
var17uniquevalue,4830,4.83,1098,0.305,11074,11.074,15.904,15904,2647,0.7352777777777778,1.0402777777777779,3745
var18uniquevalue,5485,5.485,1148,0.3188888888888889,11074,11.074,16.559,16559,2647,0.7352777777777778,1.0541666666666667,3795
var19uniquevalue,5013,5.013,1014,0.2816666666666667,11074,11.074,16.087,16087,2647,0.7352777777777778,1.0169444444444444,3661
var20uniquevalue,4342,4.342,1101,0.30583333333333335,11074,11.074,15.416,15416,2647,0.7352777777777778,1.041111111111111,3748
var21uniquevalue,6542,6.542,1258,0.34944444444444445,11074,11.074,17.616,17616,2647,0.7352777777777778,1.0847222222222221,3905
var22uniquevalue,4797,4.797,912,0.25333333333333335,11074,11.074,15.870999999999999,15871,2647,0.7352777777777778,0.9886111111111111,3559
var23uniquevalue,7223,7.223,1484,0.4122222222222222,11074,11.074,18.297,18297,2647,0.7352777777777778,1.1475,4131
var24uniquevalue,3340,3.34,862,0.23944444444444443,11074,11.074,14.414,14414,2647,0.7352777777777778,0.9747222222222223,3509
