route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,14003,14.003,3436,0.9544444444444444,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var2uniquevalue,13917,13.917,3371,0.9363888888888889,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var3uniquevalue,16071,16.071,3818,1.0605555555555555,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var4uniquevalue,12966,12.966,2978,0.8272222222222222,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var5uniquevalue,16425,16.425,3763,1.0452777777777778,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var6uniquevalue,11207,11.207,2683,0.7452777777777778,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var7uniquevalue,7617,7.617,1705,0.4736111111111111,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var8uniquevalue,13122,13.122,3060,0.85,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var9uniquevalue,15268,15.268,3533,0.9813888888888889,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var10uniquevalue,5759,5.759,1271,0.35305555555555557,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var11uniquevalue,13010,13.01,3164,0.8788888888888889,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var12uniquevalue,9303,9.303,2165,0.6013888888888889,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var13uniquevalue,16951,16.951,3915,1.0875,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var14uniquevalue,15941,15.941,3657,1.0158333333333334,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var15uniquevalue,18049,18.049,4217,1.1713888888888888,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var16uniquevalue,14887,14.887,3451,0.9586111111111111,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var17uniquevalue,16220,16.22,3884,1.0788888888888888,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var18uniquevalue,16665,16.665,3722,1.0338888888888889,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var19uniquevalue,14346,14.346,3500,0.9722222222222222,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var20uniquevalue,15215,15.215,3684,1.0233333333333334,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var21uniquevalue,8099,8.099,1872,0.52,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var22uniquevalue,7884,7.884,1787,0.4963888888888889,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var23uniquevalue,8686,8.686,2056,0.5711111111111111,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var24uniquevalue,14213,14.213,3445,0.9569444444444445,bike,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var1uniquevalue,17625,17.625,3027,0.8408333333333333,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var2uniquevalue,17809,17.809,3147,0.8741666666666666,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var3uniquevalue,18606,18.606,4115,1.1430555555555555,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var4uniquevalue,13883,13.883,2839,0.7886111111111112,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var5uniquevalue,16804,16.804,2831,0.7863888888888889,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var6uniquevalue,12536,12.536,2783,0.7730555555555556,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var7uniquevalue,5976,5.976,1706,0.4738888888888889,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var8uniquevalue,19426,19.426,3204,0.89,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var9uniquevalue,16623,16.623,2999,0.8330555555555555,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var10uniquevalue,6814,6.814,1450,0.4027777777777778,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var11uniquevalue,11859,11.859,2225,0.6180555555555556,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var12uniquevalue,9745,9.745,2587,0.7186111111111111,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var13uniquevalue,19816,19.816,4010,1.113888888888889,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var14uniquevalue,17736,17.736,2967,0.8241666666666667,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var15uniquevalue,16212,16.212,2614,0.7261111111111112,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var16uniquevalue,15562,15.562,3416,0.9488888888888889,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var17uniquevalue,15749,15.749,2590,0.7194444444444444,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var18uniquevalue,22968,22.968,11974,3.326111111111111,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var19uniquevalue,16175,16.175,2480,0.6888888888888889,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var20uniquevalue,15481,15.481,2822,0.7838888888888889,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var21uniquevalue,9957,9.957,2007,0.5575,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var22uniquevalue,8192,8.192,1923,0.5341666666666667,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var23uniquevalue,8044,8.044,2361,0.6558333333333334,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var24uniquevalue,15493,15.493,2833,0.7869444444444444,transit,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var1uniquevalue,14764,14.764,1545,0.42916666666666664,car,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var2uniquevalue,13966,13.966,1493,0.4147222222222222,car,"Bridgeport Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
