route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,distance_km,distance_meters,transit_to_location_duration_seconds,transit_to_location_duration_hours,duration_hours,duration_seconds
var1uniquevalue,8381,8.381,2511,0.6975,35459,35.459,43.84,43840,7743,2.1508333333333334,1.395,5022
var2uniquevalue,4720,4.72,1022,0.2838888888888889,35459,35.459,40.179,40179,7743,2.1508333333333334,0.5677777777777778,2044
var3uniquevalue,3510,3.51,823,0.2286111111111111,35459,35.459,38.969,38969,7743,2.1508333333333334,0.4572222222222222,1646
var4uniquevalue,6287,6.287,1319,0.3663888888888889,35459,35.459,41.746,41746,7743,2.1508333333333334,0.7327777777777778,2638
var5uniquevalue,2317,2.317,606,0.16833333333333333,35459,35.459,37.776,37776,7743,2.1508333333333334,0.33666666666666667,1212
var6uniquevalue,8102,8.102,2041,0.5669444444444445,35459,35.459,43.56100000000001,43561,7743,2.1508333333333334,1.133888888888889,4082
var7uniquevalue,4937,4.937,1102,0.3061111111111111,35459,35.459,40.396,40396,7743,2.1508333333333334,0.6122222222222222,2204
var8uniquevalue,6601,6.601,1995,0.5541666666666667,35459,35.459,42.06,42060,7743,2.1508333333333334,1.1083333333333334,3990
var9uniquevalue,4741,4.741,1491,0.4141666666666667,35459,35.459,40.2,40200,7743,2.1508333333333334,0.8283333333333334,2982
var10uniquevalue,1524,1.524,371,0.10305555555555555,35459,35.459,36.983000000000004,36983,7743,2.1508333333333334,0.2061111111111111,742
var11uniquevalue,4263,4.263,916,0.2544444444444444,35459,35.459,39.722,39722,7743,2.1508333333333334,0.5088888888888888,1832
var12uniquevalue,9671,9.671,2846,0.7905555555555556,35459,35.459,45.13,45130,7743,2.1508333333333334,1.5811111111111111,5692
var13uniquevalue,4072,4.072,1084,0.3011111111111111,35459,35.459,39.531000000000006,39531,7743,2.1508333333333334,0.6022222222222222,2168
var14uniquevalue,5194,5.194,1099,0.30527777777777776,35459,35.459,40.653000000000006,40653,7743,2.1508333333333334,0.6105555555555555,2198
var15uniquevalue,5944,5.944,1273,0.3536111111111111,35459,35.459,41.403000000000006,41403,7743,2.1508333333333334,0.7072222222222222,2546
var16uniquevalue,3931,3.931,913,0.2536111111111111,35459,35.459,39.39,39390,7743,2.1508333333333334,0.5072222222222222,1826
var17uniquevalue,7486,7.486,1665,0.4625,35459,35.459,42.945,42945,7743,2.1508333333333334,0.925,3330
var18uniquevalue,9788,9.788,2317,0.6436111111111111,35459,35.459,45.247,45247,7743,2.1508333333333334,1.2872222222222223,4634
var19uniquevalue,3034,3.034,643,0.1786111111111111,35459,35.459,38.493,38493,7743,2.1508333333333334,0.3572222222222222,1286
var20uniquevalue,5985,5.985,1204,0.33444444444444443,35459,35.459,41.444,41444,7743,2.1508333333333334,0.6688888888888889,2408
var21uniquevalue,3174,3.174,689,0.1913888888888889,35459,35.459,38.633,38633,7743,2.1508333333333334,0.3827777777777778,1378
var22uniquevalue,7497,7.497,1702,0.4727777777777778,35459,35.459,42.956,42956,7743,2.1508333333333334,0.9455555555555556,3404
var23uniquevalue,5244,5.244,1154,0.32055555555555554,35459,35.459,40.703,40703,7743,2.1508333333333334,0.6411111111111111,2308
var24uniquevalue,4107,4.107,864,0.24,35459,35.459,39.566,39566,7743,2.1508333333333334,0.48,1728
