route,distance_meters,distance_km,duration_seconds,duration_hours,mode,station,destination
var1uniquevalue,2761,2.761,728,0.20222222222222222,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var2uniquevalue,4439,4.439,1199,0.33305555555555555,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var3uniquevalue,4306,4.306,1070,0.2972222222222222,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var4uniquevalue,4758,4.758,1022,0.2838888888888889,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var5uniquevalue,6096,6.096,1431,0.3975,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var6uniquevalue,2258,2.258,705,0.19583333333333333,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var7uniquevalue,5269,5.269,1030,0.2861111111111111,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var8uniquevalue,9801,9.801,1903,0.5286111111111111,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var9uniquevalue,3307,3.307,842,0.2338888888888889,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var10uniquevalue,1632,1.632,349,0.09694444444444444,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var11uniquevalue,11295,11.295,2221,0.6169444444444444,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var12uniquevalue,8968,8.968,1802,0.5005555555555555,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var13uniquevalue,5175,5.175,1379,0.38305555555555554,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var14uniquevalue,3363,3.363,806,0.2238888888888889,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var15uniquevalue,3830,3.83,885,0.24583333333333332,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var16uniquevalue,5300,5.3,1287,0.3575,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var17uniquevalue,3313,3.313,880,0.24444444444444444,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var18uniquevalue,4667,4.667,1121,0.3113888888888889,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var19uniquevalue,1791,1.791,567,0.1575,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var20uniquevalue,5348,5.348,1281,0.35583333333333333,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var21uniquevalue,6775,6.775,1562,0.4338888888888889,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var22uniquevalue,5365,5.365,1328,0.3688888888888889,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var23uniquevalue,3724,3.724,913,0.2536111111111111,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var24uniquevalue,6869,6.869,1714,0.4761111111111111,bike,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var1uniquevalue,3087,3.087,898,0.24944444444444444,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var2uniquevalue,3958,3.958,2248,0.6244444444444445,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var3uniquevalue,4587,4.587,1389,0.3858333333333333,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var4uniquevalue,3522,3.522,1908,0.53,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var5uniquevalue,4431,4.431,1350,0.375,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var6uniquevalue,3001,3.001,911,0.25305555555555553,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var7uniquevalue,11177,11.177,4275,1.1875,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var8uniquevalue,3191,3.191,1666,0.4627777777777778,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var9uniquevalue,1580,1.58,787,0.21861111111111112,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var10uniquevalue,4598,4.598,1730,0.48055555555555557,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var11uniquevalue,9243,9.243,2278,0.6327777777777778,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var12uniquevalue,6169,6.169,1980,0.55,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var13uniquevalue,2814,2.814,1063,0.29527777777777775,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var14uniquevalue,3160,3.16,1076,0.29888888888888887,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var15uniquevalue,5137,5.137,2096,0.5822222222222222,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var16uniquevalue,3001,3.001,1036,0.2877777777777778,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var17uniquevalue,5327,5.327,1568,0.43555555555555553,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var18uniquevalue,1955,1.955,1130,0.3138888888888889,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var19uniquevalue,6407,6.407,1574,0.43722222222222223,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var20uniquevalue,5551,5.551,1758,0.48833333333333334,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var21uniquevalue,5670,5.67,1620,0.45,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var22uniquevalue,4421,4.421,1696,0.4711111111111111,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var23uniquevalue,5785,5.785,1592,0.44222222222222224,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var24uniquevalue,780,0.78,479,0.13305555555555557,transit,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var1uniquevalue,2699,2.699,469,0.13027777777777777,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var2uniquevalue,5136,5.136,775,0.2152777777777778,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var3uniquevalue,4589,4.589,708,0.19666666666666666,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var4uniquevalue,5521,5.521,862,0.23944444444444443,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var5uniquevalue,4462,4.462,666,0.185,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var6uniquevalue,2093,2.093,362,0.10055555555555555,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var7uniquevalue,8494,8.494,1054,0.2927777777777778,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var8uniquevalue,10254,10.254,1347,0.37416666666666665,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var9uniquevalue,2743,2.743,555,0.15416666666666667,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var10uniquevalue,1347,1.347,397,0.11027777777777778,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var11uniquevalue,10510,10.51,1321,0.36694444444444446,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var12uniquevalue,9332,9.332,1083,0.30083333333333334,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var13uniquevalue,5188,5.188,835,0.23194444444444445,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
var14uniquevalue,2838,2.838,477,0.1325,car,"Surrey Station, Vancouver, Canada","Vancouver Art Gallery, Vancouver, Canada"
